Indicator,Value
Share with at least one public aid,50.3%
Share without declared aid,26.2%
Share of aided households with 2+ aids,46.3%
Most used public aid,TVA réduite
Use rate of most used public aid,25.9%
Second most used public aid,CITE (crédit d'impôt)
Use rate of second most used public aid,25.6%
Most used funding source,Fonds propres (autofinancement)
Use rate of most used funding source,61.8%
Use rate of Éco-PTZ,3.1%
Top aid combination,CITE
Share of aided households in top combination,16.4%
